date,department,employee_type,check_in,check_out,late_minutes,overtime_hours,work_mode
2026-02-02,고객지원,계약직,09:00,18:30,0,0.5,외근
2026-02-02,고객지원,정규직,09:17,19:00,17,1.0,재택
2026-02-02,고객지원,정규직,09:14,19:00,14,1.0,사무실
2026-02-02,고객지원,계약직,09:20,18:30,20,0.5,외근
2026-02-02,고객지원,계약직,09:00,19:00,0,1.0,사무실
2026-02-02,개발,정규직,09:01,20:00,1,2.0,재택
2026-02-02,개발,정규직,09:00,19:30,0,1.5,사무실
2026-02-02,개발,정규직,09:00,20:30,0,2.5,재택
2026-02-02,개발,정규직,09:00,19:00,0,1.0,외근
2026-02-02,영업,정규직,09:00,19:30,0,1.5,사무실
2026-02-02,영업,정규직,09:08,19:30,8,1.5,사무실
2026-02-02,영업,계약직,09:00,19:30,0,1.5,재택
2026-02-02,영업,계약직,09:00,19:00,0,1.0,재택
2026-02-02,마케팅,정규직,09:00,18:30,0,0.5,사무실
2026-02-02,마케팅,정규직,09:18,19:30,18,1.5,외근
2026-02-02,마케팅,정규직,09:00,19:00,0,1.0,사무실
2026-02-02,마케팅,정규직,09:00,19:00,0,1.0,재택
2026-02-02,마케팅,계약직,09:00,19:00,0,1.0,사무실
2026-02-02,경영지원,정규직,09:00,18:30,0,0.5,재택
2026-02-02,경영지원,정규직,09:01,19:30,1,1.5,재택
2026-02-02,경영지원,정규직,09:00,19:00,0,1.0,사무실
2026-02-02,경영지원,정규직,09:00,18:00,0,0.0,사무실
2026-02-02,경영지원,정규직,09:11,18:00,11,0.0,외근
2026-02-02,경영지원,계약직,09:00,19:00,0,1.0,사무실
2026-02-03,고객지원,정규직,09:35,18:30,35,0.5,외근
2026-02-03,고객지원,정규직,09:05,19:30,5,1.5,외근
2026-02-03,고객지원,계약직,09:04,19:00,4,1.0,재택
2026-02-03,고객지원,계약직,09:18,19:00,18,1.0,재택
2026-02-03,고객지원,계약직,09:27,18:30,27,0.5,외근
2026-02-03,개발,정규직,09:15,19:00,15,1.0,사무실
2026-02-03,개발,정규직,09:00,20:30,0,2.5,재택
2026-02-03,개발,정규직,09:00,20:00,0,2.0,재택
2026-02-03,개발,정규직,09:10,19:00,10,1.0,사무실
2026-02-03,개발,정규직,09:06,19:00,6,1.0,사무실
2026-02-03,개발,정규직,09:23,19:00,23,1.0,외근
2026-02-03,영업,계약직,09:00,19:00,0,1.0,재택
2026-02-03,영업,정규직,09:00,18:00,0,0.0,사무실
2026-02-03,영업,정규직,09:00,19:00,0,1.0,사무실
2026-02-03,영업,계약직,09:30,18:00,30,0.0,사무실
2026-02-03,영업,정규직,09:19,19:30,19,1.5,사무실
2026-02-03,마케팅,정규직,09:05,19:00,5,1.0,외근
2026-02-03,마케팅,정규직,09:00,19:00,0,1.0,사무실
2026-02-03,마케팅,정규직,09:00,18:00,0,0.0,사무실
2026-02-03,마케팅,정규직,09:04,18:00,4,0.0,외근
2026-02-03,마케팅,정규직,09:03,19:30,3,1.5,사무실
2026-02-03,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-03,경영지원,정규직,09:00,19:00,0,1.0,사무실
2026-02-03,경영지원,정규직,09:20,18:00,20,0.0,사무실
2026-02-03,경영지원,정규직,09:00,18:00,0,0.0,사무실
2026-02-03,경영지원,정규직,09:16,18:30,16,0.5,외근
