received_date,region,category,channel,status,days_to_close,summary
2026-03-01,중구,복지,웹,완료,16,독거노인 돌봄 요청
2026-03-01,서구,환경,방문,처리중,,재활용 분리수거 미흡 민원
2026-03-01,동구,환경,웹,완료,1,생활 쓰레기 무단 투기 신고
2026-03-01,남구,교통,앱,완료,4,신호등 점멸 오작동 신고
2026-03-01,북구,교통,웹,완료,1,횡단보도 도색 마모 민원
2026-03-01,북구,소음,웹,완료,3,심야 오토바이 소음 신고
2026-03-02,중구,시설,앱,완료,9,보도블록 파손 신고
2026-03-02,서구,복지,앱,완료,5,기초생활 지원 문의
2026-03-02,서구,소음,웹,완료,1,층간 소음 중재 요청
2026-03-02,동구,위생,웹,완료,8,음식점 위생 상태 신고
2026-03-02,남구,시설,웹,완료,8,보도블록 파손 신고
2026-03-02,남구,소음,웹,처리중,,심야 오토바이 소음 신고
2026-03-02,북구,환경,전화,완료,7,생활 쓰레기 무단 투기 신고
2026-03-02,북구,시설,웹,완료,10,보도블록 파손 신고
2026-03-03,중구,환경,앱,처리중,,생활 쓰레기 무단 투기 신고
2026-03-03,중구,복지,전화,처리중,,독거노인 돌봄 요청
2026-03-03,중구,복지,웹,완료,19,아동 급식 지원 문의
2026-03-03,서구,위생,앱,완료,6,쥐·해충 방제 요청
2026-03-03,동구,복지,앱,반려,1,아동 급식 지원 문의
2026-03-03,남구,교통,전화,처리중,,신호등 점멸 오작동 신고
2026-03-03,북구,환경,웹,완료,5,재활용 분리수거 미흡 민원
2026-03-03,북구,환경,앱,완료,3,재활용 분리수거 미흡 민원
2026-03-04,중구,교통,웹,완료,2,신호등 점멸 오작동 신고
2026-03-04,서구,위생,앱,완료,4,무허가 노점 위생 민원
2026-03-04,동구,위생,전화,완료,5,방역 요청
2026-03-04,동구,시설,앱,완료,2,놀이터 시설물 안전 점검 요청
2026-03-04,북구,시설,앱,완료,8,보도블록 파손 신고
2026-03-04,북구,시설,전화,완료,6,공원 조명 고장 민원
2026-03-05,중구,소음,앱,처리중,,심야 오토바이 소음 신고
2026-03-05,중구,교통,웹,반려,1,버스 정류장 안내판 훼손 신고
2026-03-05,중구,환경,웹,완료,7,생활 쓰레기 무단 투기 신고
2026-03-05,서구,환경,웹,처리중,,생활 쓰레기 무단 투기 신고
2026-03-05,서구,시설,앱,완료,6,공중화장실 파손 신고
2026-03-05,동구,시설,앱,처리중,,공중화장실 파손 신고
2026-03-05,남구,환경,앱,완료,9,생활 쓰레기 무단 투기 신고
