date,store,category,product,units_sold,unit_price,discount_rate,channel
2026-01-01,강남점,음료,아메리카노,7,4000,0.00,매장
2026-01-01,강남점,베이커리,밤식빵,7,4200,0.00,매장
2026-01-01,강남점,베이커리,크루아상,6,3800,0.00,매장
2026-01-01,강남점,음료,아메리카노,11,4000,0.00,매장
2026-01-01,강남점,음료,콜드브루,10,4500,0.00,배달
2026-01-01,홍대점,음료,라떼,6,4800,0.15,배달
2026-01-01,홍대점,디저트,티라미수,3,6500,0.05,매장
2026-01-01,홍대점,음료,아메리카노,12,4000,0.15,매장
2026-01-01,홍대점,음료,라떼,9,4800,0.00,매장
2026-01-01,홍대점,음료,라떼,9,4800,0.05,매장
2026-01-01,홍대점,디저트,티라미수,4,6500,0.15,매장
2026-01-01,홍대점,음료,아메리카노,5,4000,0.05,매장
2026-01-01,부산점,음료,라떼,5,4800,0.15,배달
2026-01-01,부산점,베이커리,소금빵,2,3200,0.00,배달
2026-01-01,부산점,베이커리,밤식빵,3,4200,0.00,매장
2026-01-01,부산점,디저트,마카롱,2,2500,0.15,배달
2026-01-02,강남점,베이커리,크루아상,6,3800,0.05,매장
2026-01-02,강남점,음료,라떼,14,4800,0.15,매장
2026-01-02,강남점,음료,아메리카노,7,4000,0.10,매장
2026-01-02,강남점,디저트,티라미수,3,6500,0.10,매장
2026-01-02,강남점,디저트,티라미수,3,6500,0.10,배달
2026-01-02,홍대점,베이커리,소금빵,6,3200,0.05,매장
2026-01-02,홍대점,디저트,치즈케이크,2,6200,0.10,배달
2026-01-02,홍대점,음료,콜드브루,9,4500,0.00,배달
2026-01-02,홍대점,디저트,티라미수,3,6500,0.05,매장
2026-01-02,부산점,음료,아메리카노,4,4000,0.00,매장
2026-01-02,부산점,음료,아메리카노,7,4000,0.00,매장
2026-01-02,부산점,디저트,치즈케이크,2,6200,0.00,배달
2026-01-02,부산점,베이커리,크루아상,2,3800,0.05,배달
2026-01-02,부산점,베이커리,밤식빵,4,4200,0.00,배달
2026-01-03,강남점,음료,콜드브루,10,4500,0.00,배달
2026-01-03,강남점,베이커리,크루아상,7,3800,0.00,배달
2026-01-03,강남점,베이커리,크루아상,8,3800,0.00,배달
