date,channel,content_type,impressions,clicks,ctr,engagement,conversions,spend_krw
2026-05-26,인스타그램,피드,1978,52,0.0266,176,0,42921
2026-05-26,인스타그램,피드,1224,34,0.028,82,0,45900
2026-05-26,인스타그램,피드,1302,36,0.0279,115,0,42480
2026-05-26,유튜브,숏츠,1297,23,0.0184,66,0,82426
2026-05-26,블로그,포스트,1162,62,0.0542,0,1,0
2026-05-27,인스타그램,릴스,2622,70,0.0268,140,1,121379
2026-05-28,인스타그램,피드,2018,56,0.028,144,1,34011
2026-05-28,인스타그램,피드,1751,58,0.0333,88,1,39031
2026-05-28,인스타그램,스토리,1494,43,0.0289,90,0,34305
2026-05-29,인스타그램,릴스,2065,68,0.0333,183,1,55794
2026-05-29,인스타그램,스토리,1999,52,0.0265,117,1,56818
2026-05-29,유튜브,숏츠,1497,38,0.026,53,0,86507
2026-05-29,블로그,포스트,1380,58,0.0421,0,1,0
2026-05-30,인스타그램,피드,6172,174,0.0283,373,4,102449
2026-05-30,블로그,포스트,1119,46,0.0414,0,1,0
2026-05-31,인스타그램,피드,1865,67,0.0361,110,1,45223
2026-05-31,인스타그램,피드,2114,62,0.0294,156,1,39848
2026-05-31,인스타그램,피드,1105,39,0.0357,62,0,40872
2026-06-01,인스타그램,릴스,2256,82,0.0365,178,1,66322
2026-06-01,인스타그램,피드,3398,113,0.0335,168,2,68440
2026-06-02,인스타그램,릴스,1441,37,0.0258,108,0,43871
2026-06-02,인스타그램,스토리,1168,46,0.0396,83,0,40707
2026-06-02,인스타그램,릴스,1659,52,0.0317,88,1,42682
2026-06-02,유튜브,롱폼,2017,34,0.0169,73,0,81867
2026-06-02,블로그,포스트,615,24,0.0405,0,0,0
2026-06-03,인스타그램,릴스,1135,42,0.0378,74,1,44781
2026-06-03,인스타그램,스토리,1734,68,0.0393,139,1,37690
2026-06-03,인스타그램,스토리,1101,29,0.0267,59,0,39083
2026-06-03,블로그,포스트,751,39,0.0524,0,1,0
2026-06-04,인스타그램,스토리,1823,48,0.0267,160,1,63606
2026-06-04,인스타그램,스토리,1742,50,0.0288,127,1,63461
2026-06-04,블로그,포스트,734,32,0.0441,0,1,0
2026-06-05,인스타그램,릴스,40138,1165,0.029,3080,28,1088789
2026-06-05,블로그,포스트,12896,465,0.0361,0,11,0
2026-06-06,인스타그램,릴스,19773,783,0.0396,1175,20,605700
2026-06-07,인스타그램,릴스,13700,517,0.0378,823,13,313762
2026-06-07,인스타그램,피드,11600,368,0.0318,861,10,279679
2026-06-07,유튜브,롱폼,7886,133,0.0169,265,2,351011
2026-06-08,인스타그램,릴스,15217,456,0.03,1133,11,431558
2026-06-08,블로그,포스트,3728,203,0.0546,0,6,0
2026-06-09,인스타그램,피드,7276,235,0.0324,419,4,242069
2026-06-09,인스타그램,피드,6145,234,0.0382,321,6,255257
2026-06-09,블로그,포스트,4233,237,0.056,0,7,0
2026-06-10,인스타그램,릴스,3944,140,0.0356,277,3,155707
2026-06-10,인스타그램,스토리,5965,161,0.0271,458,3,135204
2026-06-10,인스타그램,피드,5548,206,0.0372,337,5,124995
2026-06-10,블로그,포스트,4085,175,0.043,0,6,0
2026-06-11,인스타그램,스토리,6648,261,0.0394,340,7,225217
2026-06-11,인스타그램,스토리,6335,246,0.0389,328,5,184591
2026-06-11,블로그,포스트,4759,255,0.0537,0,6,0
2026-06-12,인스타그램,피드,4880,159,0.0327,270,3,131242
2026-06-12,인스타그램,피드,7704,246,0.032,394,5,159253
2026-06-12,인스타그램,스토리,5599,207,0.037,488,5,125778
2026-06-13,인스타그램,스토리,21630,709,0.0328,1733,16,563078
2026-06-13,유튜브,숏츠,4382,99,0.0227,254,1,383213
2026-06-13,블로그,포스트,4973,196,0.0395,0,7,0
2026-06-14,인스타그램,릴스,8621,264,0.0307,744,4,261300
2026-06-14,인스타그램,스토리,10898,308,0.0283,851,8,242970
2026-06-15,인스타그램,피드,16180,427,0.0264,1417,12,384676
2026-06-15,블로그,포스트,3491,138,0.0397,0,4,0
2026-06-16,인스타그램,피드,8063,302,0.0376,407,5,190144
2026-06-16,인스타그램,릴스,5003,182,0.0366,444,5,188530
2026-06-17,인스타그램,릴스,15503,445,0.0287,1284,9,381683
2026-06-17,블로그,포스트,2445,88,0.0361,0,3,0
2026-06-18,인스타그램,피드,3153,114,0.0364,232,3,134820
2026-06-18,인스타그램,릴스,3563,121,0.0342,190,2,127561
2026-06-18,인스타그램,릴스,5341,177,0.0332,322,3,122420
2026-06-18,블로그,포스트,3997,214,0.0537,0,5,0
