quarter,revenue_saas_eok,revenue_consulting_eok,revenue_total_eok,cogs_eok,sga_eok,operating_income_eok,operating_margin_pct,net_income_eok,arr_eok,nrr_pct,cac_manwon,ltv_cac_ratio,customers
2023Q3,146.5,119.9,266.3,114.5,87.9,63.9,24.0,46.1,725.0,107.7,4262,3.1,700
2023Q4,157.0,124.3,281.3,120.2,92.0,69.0,24.5,51.7,761.3,108.5,4089,3.36,764
2024Q1,168.2,128.8,297.0,126.2,96.3,74.4,25.1,54.8,799.3,109.3,4073,3.47,835
2024Q2,180.1,133.5,313.6,132.5,100.9,80.3,25.6,60.5,839.3,111.0,3953,3.66,912
2024Q3,192.9,138.3,331.2,139.1,105.6,86.5,26.1,63.2,881.2,110.9,3796,3.82,996
2024Q4,206.5,143.2,349.8,146.0,110.5,93.2,26.7,69.6,925.3,112.3,3758,3.93,1088
2025Q1,221.1,148.3,369.3,153.3,115.7,100.4,27.2,72.7,971.6,113.1,3640,4.04,1188
2025Q2,236.6,153.4,390.0,160.9,121.1,108.1,27.7,81.1,1020.2,114.7,3519,4.17,1297
2025Q3,253.2,158.7,411.9,168.9,126.7,116.3,28.2,84.7,1071.2,114.7,3512,4.3,1417
2025Q4,270.9,164.0,434.9,177.2,132.6,125.1,28.8,91.8,1124.7,116.5,3357,4.55,1548
2026Q1,289.8,169.5,459.3,186.0,138.7,134.6,29.3,97.7,1181.0,117.4,3284,4.61,1691
2026Q2,309.9,175.1,485.0,195.2,145.1,144.7,29.8,105.0,1240.0,118.7,3231,4.83,1847
