student_id,class,mc1,mc2,mc3,mc4,mc5,short1,short2,short3,short4,short5,essay_score,total_score,study_time_min
S001,1반,1,0,0,0,1,0,1,0,1,1,3,15,76
S002,1반,0,0,1,1,0,0,1,0,1,1,3,15,59
S003,1반,1,0,0,0,1,0,0,1,1,1,1,13,31
S004,1반,1,1,1,1,1,1,1,1,0,1,5,28,45
S005,1반,0,0,0,1,1,1,0,1,1,0,3,15,52
S006,1반,1,1,0,1,0,0,1,0,0,1,3,16,87
S007,1반,1,1,0,0,1,0,1,1,0,1,3,18,39
S008,1반,0,1,1,1,1,1,1,1,1,0,2,22,88
S009,2반,1,1,1,1,1,1,1,1,0,1,5,28,104
S010,2반,1,1,1,1,0,0,0,1,1,1,3,21,57
S011,2반,1,1,0,1,1,1,0,1,0,0,2,18,69
S012,2반,1,1,0,1,1,1,1,0,1,1,5,25,68
S013,2반,1,1,0,1,0,1,1,1,0,1,3,20,79
S014,2반,1,1,1,1,1,1,1,1,1,1,4,29,72
S015,2반,0,1,0,0,1,1,0,1,0,0,2,12,74
S016,2반,0,1,0,1,1,0,0,1,1,1,1,16,44
S017,3반,1,0,0,1,1,0,1,1,1,1,3,20,62
S018,3반,0,1,0,1,1,1,0,1,0,1,3,18,33
S019,3반,1,1,1,1,1,1,1,1,0,1,4,27,98
S020,3반,1,1,0,1,1,1,1,0,0,1,2,20,50
S021,3반,1,0,0,1,0,0,0,0,0,1,2,10,29
S022,3반,1,1,0,1,0,1,0,1,0,1,4,19,56
S023,3반,0,1,0,1,1,0,0,0,0,0,0,9,29
S024,3반,0,1,0,1,0,0,0,1,0,1,1,11,48
S025,4반,1,1,0,0,1,1,1,1,1,1,3,22,60
S026,4반,0,1,1,1,0,1,1,1,0,0,2,17,57
S027,4반,1,1,1,1,1,1,0,1,1,0,4,25,76
S028,4반,1,1,1,1,1,0,1,1,0,1,2,23,25
S029,4반,1,1,1,1,1,1,1,1,1,1,3,28,31
S030,4반,0,1,1,1,1,0,0,0,0,1,2,16,53
S031,4반,1,1,1,1,1,1,1,0,1,0,3,24,63
S032,4반,1,0,0,1,0,0,1,1,0,1,3,15,52
