audit_date,quarter,department,system,finding_category,severity,status,resolve_days
2025-09-15,2025Q3,마케팅,마케팅자동화툴,접근로그 미보존,중,미착수,
2025-09-15,2025Q3,마케팅,마케팅자동화툴,교육 미이수,하,개선완료,24
2025-09-15,2025Q3,마케팅,마케팅자동화툴,파기 미이행,상,진행중,
2025-09-15,2025Q3,마케팅,마케팅자동화툴,권한 과다부여,중,진행중,
2025-09-15,2025Q3,마케팅,마케팅자동화툴,파기 미이행,상,미착수,
2025-09-15,2025Q3,마케팅,마케팅자동화툴,권한 과다부여,중,진행중,
2025-09-15,2025Q3,마케팅,마케팅자동화툴,암호화 미흡,상,진행중,
2025-09-15,2025Q3,마케팅,마케팅자동화툴,접근로그 미보존,하,진행중,
2025-09-15,2025Q3,마케팅,마케팅자동화툴,파기 미이행,상,진행중,
2025-09-15,2025Q3,영업,CRM,권한 과다부여,하,미착수,
2025-09-15,2025Q3,영업,CRM,파기 미이행,상,진행중,
2025-09-15,2025Q3,영업,CRM,권한 과다부여,하,개선완료,11
2025-09-15,2025Q3,영업,CRM,접근로그 미보존,중,미착수,
2025-09-15,2025Q3,영업,CRM,교육 미이수,하,개선완료,18
2025-09-15,2025Q3,영업,CRM,접근로그 미보존,하,진행중,
2025-09-15,2025Q3,영업,CRM,교육 미이수,하,진행중,
2025-09-15,2025Q3,영업,CRM,파기 미이행,상,미착수,
2025-09-15,2025Q3,영업,CRM,파기 미이행,상,개선완료,32
2025-09-15,2025Q3,개발,이커머스몰,파기 미이행,하,개선완료,16
2025-09-15,2025Q3,개발,이커머스몰,접근로그 미보존,중,진행중,
2025-09-15,2025Q3,개발,이커머스몰,권한 과다부여,상,진행중,
2025-09-15,2025Q3,개발,이커머스몰,교육 미이수,하,개선완료,28
2025-09-15,2025Q3,개발,이커머스몰,파기 미이행,상,미착수,
2025-09-15,2025Q3,개발,이커머스몰,파기 미이행,상,진행중,
2025-09-15,2025Q3,개발,이커머스몰,접근로그 미보존,중,개선완료,20
2025-09-15,2025Q3,개발,이커머스몰,권한 과다부여,중,미착수,
2025-09-15,2025Q3,개발,이커머스몰,파기 미이행,상,미착수,
2025-09-15,2025Q3,고객지원,사내메신저,암호화 미흡,하,진행중,
2025-09-15,2025Q3,고객지원,사내메신저,암호화 미흡,중,개선완료,32
2025-09-15,2025Q3,고객지원,사내메신저,교육 미이수,하,진행중,
2025-09-15,2025Q3,고객지원,사내메신저,교육 미이수,하,개선완료,25
2025-09-15,2025Q3,고객지원,사내메신저,권한 과다부여,하,미착수,
