candidate_id,years_experience,primary_stack,cloud_experience,db_depth_1to5,project_scale,application_channel,experience_score,tech_fit_score,project_scale_score,growth_potential_score,total_score,stage
CAND-001,5.7,Python,N,4,소,추천,19,32,9,15,75,서류검토
CAND-002,3.0,Python,Y,3,소,헤드헌터,7,30,10,10,57,불합격
CAND-003,5.6,Node.js,Y,2,중,자체지원,16,27,12,8,63,서류검토
CAND-004,7.7,Python,Y,5,중,자체지원,22,31,12,13,78,서류검토
CAND-005,6.4,Go,Y,4,중,추천,19,35,12,13,79,서류검토
CAND-006,7.5,Java,Y,4,소,채용사이트,23,28,6,7,64,서류검토
CAND-007,1.6,Python,Y,3,대,자체지원,4,32,20,12,68,서류검토
CAND-008,6.9,Node.js,Y,2,대,채용사이트,20,28,20,11,79,서류검토
CAND-009,2.7,Node.js,Y,3,대,자체지원,9,30,20,5,64,서류검토
CAND-010,7.3,Node.js,N,4,중,추천,21,30,13,16,80,면접대상
CAND-011,9.2,Go,N,3,소,추천,25,28,10,15,78,서류검토
CAND-012,6.3,Java,Y,3,소,채용사이트,20,30,8,11,69,서류검토
CAND-013,5.0,Go,Y,3,소,자체지원,15,30,8,10,63,서류검토
CAND-014,9.5,Python,N,4,대,자체지원,25,29,19,8,81,면접대상
CAND-015,9.1,Go,Y,4,소,채용사이트,25,32,8,9,74,서류검토
CAND-016,7.8,Python,Y,3,대,채용사이트,23,24,17,8,72,서류검토
CAND-017,5.1,Java,Y,3,중,헤드헌터,17,27,14,16,74,서류검토
CAND-018,3.3,Node.js,Y,4,중,헤드헌터,9,33,13,7,62,서류검토
CAND-019,7.6,Python,Y,3,중,추천,21,31,16,8,76,서류검토
CAND-020,9.6,Python,Y,5,중,자체지원,25,33,12,9,79,서류검토
CAND-021,10.5,Node.js,Y,3,대,자체지원,25,29,20,11,85,면접대상
CAND-022,2.7,Java,Y,4,대,자체지원,7,27,17,15,66,서류검토
CAND-023,1.5,Python,N,4,대,자체지원,6,27,19,10,62,서류검토
CAND-024,10.0,Node.js,Y,5,중,채용사이트,25,29,14,6,74,서류검토
CAND-025,6.3,Node.js,Y,3,중,자체지원,19,28,13,6,66,서류검토
CAND-026,6.7,Node.js,Y,2,소,자체지원,22,29,8,11,70,서류검토
CAND-027,8.3,Go,N,2,소,채용사이트,25,18,6,9,58,불합격
CAND-028,5.3,Go,N,3,대,자체지원,15,20,20,9,64,서류검토
CAND-029,5.4,Go,Y,5,중,자체지원,15,33,15,10,73,서류검토
CAND-030,6.6,Go,Y,5,대,자체지원,19,35,20,15,89,면접대상
CAND-031,4.5,Go,Y,4,중,자체지원,13,32,13,10,68,서류검토
CAND-032,1,Node.js,N,3,중,채용사이트,4,21,13,5,43,불합격
CAND-033,6.0,Python,Y,4,중,자체지원,17,30,12,11,70,서류검토
CAND-034,7.1,Java,Y,2,소,추천,23,29,8,8,68,서류검토
CAND-035,4.0,Go,Y,2,대,자체지원,13,25,17,6,61,서류검토
CAND-036,5.0,Java,Y,2,중,자체지원,15,27,12,15,69,서류검토
CAND-037,7.4,Python,Y,3,중,자체지원,23,27,12,14,76,서류검토
CAND-038,5.0,Node.js,N,3,중,추천,15,28,14,17,74,서류검토
CAND-039,4.0,Node.js,N,3,소,추천,12,30,6,17,65,서류검토
CAND-040,9.8,Go,Y,1,대,자체지원,25,22,18,9,74,서류검토
CAND-041,11.3,Python,N,3,소,추천,25,25,8,8,66,서류검토
CAND-042,2.7,Go,Y,3,중,채용사이트,7,25,12,7,51,불합격
CAND-043,5.7,Node.js,Y,3,대,자체지원,16,30,20,12,78,서류검토
CAND-044,2.6,Go,Y,2,소,채용사이트,7,25,9,12,53,불합격
CAND-045,8.6,Java,N,4,소,채용사이트,24,23,7,12,66,서류검토
CAND-046,6.6,Go,Y,1,중,자체지원,20,29,12,10,71,서류검토
CAND-047,3.7,Java,Y,2,대,자체지원,10,25,20,9,64,서류검토
CAND-048,5.1,Node.js,Y,5,중,자체지원,16,35,12,10,73,서류검토
CAND-049,9.9,Java,N,3,대,채용사이트,25,22,20,8,75,서류검토
CAND-050,4.4,Java,N,1,중,자체지원,12,19,16,13,60,서류검토
CAND-051,6.7,Node.js,N,4,소,추천,21,32,10,13,76,서류검토
CAND-052,2.0,Node.js,Y,3,중,추천,6,33,12,17,68,서류검토
CAND-053,6.4,Python,Y,2,중,채용사이트,18,25,16,6,65,서류검토
CAND-054,1,Go,Y,5,중,추천,1,33,16,9,59,불합격
CAND-055,3.1,Go,Y,4,소,채용사이트,10,26,9,13,58,불합격
CAND-056,2.0,Java,N,4,소,추천,6,27,6,9,48,불합격
CAND-057,6.6,Java,Y,3,소,채용사이트,21,25,6,12,64,서류검토
CAND-058,2.6,Go,Y,4,소,채용사이트,6,31,6,10,53,불합격
CAND-059,6.5,Java,N,2,소,자체지원,18,25,7,8,58,불합격
CAND-060,4.0,Python,Y,3,중,자체지원,13,33,15,12,73,서류검토
