month,customers,mrr_manwon,arr_manwon,churn_rate_pct,nrr_pct,cac_manwon,ltv_manwon,ltv_cac_ratio,nps,dau_mau_ratio
2023-09-01,351,1017.9,12214.8,3.45,94.6,463.7,605.1,1.3,27.2,0.361
2023-10-01,377,1099.8,13197.2,3.52,96.6,459.3,597.2,1.3,22.8,0.336
2023-11-01,403,1182.5,14190.2,3.51,95.0,448.5,601.3,1.34,25.1,0.374
2023-12-01,425,1254.4,15052.3,3.46,95.1,438.3,614.6,1.4,27.8,0.378
2024-01-01,474,1407.1,16885.2,3.27,95.9,437.6,653.2,1.49,29.1,0.36
2024-02-01,470,1403.3,16839.4,3.33,98.6,431.9,646.0,1.5,27.6,0.366
2024-03-01,495,1486.4,17837.0,3.11,98.2,409.8,695.8,1.7,28.6,0.376
2024-04-01,536,1618.7,19424.6,3.26,98.9,407.7,666.6,1.63,27.7,0.394
2024-05-01,551,1673.5,20081.6,3.19,98.1,413.3,684.5,1.66,33.3,0.389
2024-06-01,557,1701.2,20414.8,2.95,100.7,411.5,746.1,1.81,30.4,0.4
2024-07-01,601,1845.9,22151.1,3.07,98.9,409.3,721.5,1.76,32.9,0.394
2024-08-01,616,1902.6,22830.7,2.85,99.1,384.8,781.4,2.03,32.8,0.424
2024-09-01,635,1972.1,23665.5,2.95,99.6,392.3,759.2,1.94,32.8,0.399
2024-10-01,643,2008.0,24096.0,2.99,101.5,388.4,751.5,1.93,36.5,0.421
2024-11-01,663,2081.8,24981.8,2.84,102.9,378.3,795.8,2.1,38.7,0.449
2024-12-01,690,2178.4,26141.1,2.64,102.4,362.3,862.5,2.38,36.2,0.432
2025-01-01,724,2298.2,27578.2,2.59,104.2,367.1,882.6,2.4,39.5,0.446
2025-02-01,726,2317.0,27803.7,2.64,104.0,365.5,870.2,2.38,39.2,0.429
2025-03-01,753,2416.1,28992.7,2.54,105.2,352.9,909.0,2.58,37.3,0.473
2025-05-01,764,2464.4,29573.3,2.52,103.6,367.6,921.3,2.51,39.3,0.478
2025-06-01,778,2522.9,30275.3,2.59,103.6,339.5,902.1,2.66,40.1,0.458
2025-07-01,799,2604.7,31256.9,2.47,104.4,334.1,949.0,2.84,40.2,0.457
2025-08-01,820,2687.3,32247.1,2.31,107.2,350.3,1019.9,2.91,39.9,0.469
2025-09-01,832,2740.8,32890.1,2.39,106.6,339.7,993.4,2.92,45.4,0.496
2025-10-01,857,2837.9,34054.7,2.44,105.5,345.1,975.5,2.83,43.2,0.475
2025-11-01,876,2915.8,34989.9,2.4,106.6,318.3,998.3,3.14,46.4,0.484
2025-12-01,903,3021.2,36254.2,2.38,108.3,319.9,1011.6,3.16,45.1,0.518
2026-01-01,918,3087.1,37045.2,2.08,107.0,324.7,1166.6,3.59,44.7,0.511
2026-02-01,943,3187.3,38248.1,2.12,109.1,312.5,1148.5,3.67,43.7,0.502
2026-03-01,957,3251.1,39012.8,2.14,109.6,307.0,1141.6,3.72,46.2,0.53
2026-04-01,959,3274.3,39291.6,1.98,108.2,309.8,1242.9,4.01,45.7,0.517
2026-05-01,971,3331.9,39983.0,2.13,108.6,298.1,1159.7,3.89,48.8,0.53
2026-06-01,989,3410.6,40927.6,1.91,109.9,290.5,1300.4,4.48,49.2,0.543
2026-07-01,1005,3483.0,41796.5,1.99,111.5,294.4,1252.8,4.25,50.6,0.519
2026-08-01,1030,3587.3,43048.1,1.96,110.2,297.7,1281.2,4.3,52.0,0.539
2026-09-01,1040,3640.0,43680.0,1.72,113.1,289.7,1462.8,5.05,53.1,0.559
